month,Monthly_Sales
1992-01-31,1160403.0
1992-02-29,1162058.0
1992-03-31,1159538.0
1992-04-30,1167284.0
1992-05-31,1172455.0
1992-06-30,1176072.0
1992-07-31,1183246.0
1992-08-31,1189087.0
1992-09-30,1197282.0
1992-10-31,1205947.0
1992-11-30,1208135.0
1992-12-31,1224874.0
1993-01-31,1236599.0
1993-02-28,1227721.0
1993-03-31,1218445.0
1993-04-30,1246342.0
1993-05-31,1258489.0
1993-06-30,1256398.0
1993-07-31,1273917.0
1993-08-31,1272217.0
1993-09-30,1280725.0
1993-10-31,1287739.0
1993-11-30,1299525.0
1993-12-31,1310827.0
1994-01-31,1302519.0
1994-02-28,1320907.0
1994-03-31,1345982.0
1994-04-30,1345126.0
1994-05-31,1341937.0
1994-06-30,1357547.0
1994-07-31,1361494.0
1994-08-31,1378568.0
1994-09-30,1387673.0
1994-10-31,1400729.0
1994-11-30,1401227.0
1994-12-31,1409654.0
1995-01-31,1416130.0
1995-02-28,1393370.0
1995-03-31,1406043.0
1995-04-30,1410632.0
1995-05-31,1424086.0
1995-06-30,1438469.0
1995-07-31,1436432.0
1995-08-31,1445507.0
1995-09-30,1452518.0
1995-10-31,1445446.0
1995-11-30,1464510.0
1995-12-31,1476488.0
1996-01-31,1461566.0
1996-02-29,1482282.0
1996-03-31,1495347.0
1996-04-30,1503351.0
1996-05-31,1513428.0
1996-06-30,1513357.0
1996-07-31,1515261.0
1996-08-31,1517669.0
1996-09-30,1535103.0
1996-10-31,1547819.0
1996-11-30,1547122.0
1996-12-31,1555058.0
1997-01-31,1562357.0
1997-02-28,1575545.0
1997-03-31,1582747.0
1997-04-30,1572349.0
1997-05-31,1564922.0
1997-06-30,1583883.0
1997-07-31,1601186.0
1997-08-31,1605122.0
1997-09-30,1612322.0
1997-10-31,1611335.0
1997-11-30,1615800.0
1997-12-31,1619869.0
1998-01-31,1625394.0
1998-02-28,1628510.0
1998-03-31,1636676.0
1998-04-30,1656216.0
1998-05-31,1662346.0
1998-06-30,1673631.0
1998-07-31,1669654.0
1998-08-31,1665826.0
1998-09-30,1676654.0
1998-10-31,1701687.0
1998-11-30,1714621.0
1998-12-31,1728604.0
1999-01-31,1733733.0
1999-02-28,1752519.0
1999-03-31,1761206.0
1999-04-30,1771276.0
1999-05-31,1786350.0
1999-06-30,1792640.0
1999-07-31,1803452.0
1999-08-31,1820930.0
1999-09-30,1830863.0
1999-10-31,1834598.0
1999-11-30,1852548.0
1999-12-31,1891154.0
2000-01-31,1871125.0
2000-02-29,1896421.0
2000-03-31,1922044.0
2000-04-30,1900413.0
2000-05-31,1903104.0
2000-06-30,1914404.0
2000-07-31,1912271.0
2000-08-31,1916203.0
2000-09-30,1945823.0
2000-10-31,1942818.0
2000-11-30,1938777.0
2000-12-31,1941079.0
2001-01-31,1957720.0
2001-02-28,1956149.0
2001-03-31,1940849.0
2001-04-30,1971982.0
2001-05-31,1972711.0
2001-06-30,1966992.0
2001-07-31,1966312.0
2001-08-31,1979808.0
2001-09-30,1943638.0
2001-10-31,2046191.0
2001-11-30,2014282.0
2001-12-31,2000263.0
2002-01-31,1998974.0
2002-02-28,2010109.0
2002-03-31,2007195.0
2002-04-30,2034863.0
2002-05-31,2013100.0
2002-06-30,2025999.0
2002-07-31,2039409.0
2002-08-31,2052051.0
2002-09-30,2029437.0
2002-10-31,2041362.0
2002-11-30,2053930.0
2002-12-31,2066938.0
2003-01-31,2075456.0
2003-02-28,2049889.0
2003-03-31,2084244.0
2003-04-30,2080251.0
2003-05-31,2087307.0
2003-06-30,2111432.0
2003-07-31,2133856.0
2003-08-31,2165866.0
2003-09-30,2156738.0
2003-10-31,2151241.0
2003-11-30,2173435.0
2003-12-31,2169942.0
2004-01-31,2183698.0
2004-02-29,2194046.0
2004-03-31,2233988.0
2004-04-30,2213413.0
2004-05-31,2245016.0
2004-06-30,2223312.0
2004-07-31,2246004.0
2004-08-31,2249985.0
2004-09-30,2281957.0
2004-10-31,2298523.0
2004-11-30,2306498.0
2004-12-31,2333257.0
2005-01-31,2320199.0
2005-02-28,2348250.0
